 
      h        error       ratio       observed order
   0.30000   1.03455e-01       NaN             NaN
   0.27273   3.09755e+00   0.03340       -35.66495
   0.25000   1.31142e+00   2.36198         9.87804
   0.23077   1.88213e+00   0.69677        -4.51376
   0.20000   4.07625e-01   4.61731        10.69044
   0.18750   2.86107e-01   1.42473         5.48483
   0.16667   1.33476e-01   2.14351         6.47330
   0.15789   2.16270e-01   0.61717        -8.92604
   0.14286   6.25518e-02   3.45745        12.39497
   0.13043   1.31840e-01   0.47445        -8.19587
   0.11538   8.30575e-02   1.58733         3.76872
   0.10714   7.96189e-02   1.04319         0.57055
   0.09677   2.85435e-02   2.78939        10.07855
   0.08824   1.38157e-01   0.20660       -17.07161
   0.08108   3.80493e-01   0.36310       -11.98096
   0.07317   8.65950e-03  43.93943        36.85006
   0.06667   1.27935e-01   0.06769       -28.92740
   0.06122   1.53809e-02   8.31778        24.87612
   0.05556   2.27839e-02   0.67508        -4.04398
   0.05000   5.50789e-02   0.41366        -8.37803
   0.04545   9.33110e-03   5.90273        18.62775
   0.04167   1.73652e-02   0.53734        -7.13835
   0.03797   1.87520e-02   0.92605        -0.82805
   0.03448   7.78873e-03   2.40758         9.10863
   0.03158   1.21303e-02   0.64209        -5.03623
   0.02857   5.25001e-03   2.31053         8.36781
   0.02609   1.07162e-02   0.48991        -7.84342
   0.02381   2.30405e-02   0.46510        -8.37979
   0.02158   3.04564e-03   7.56507        20.60800
   0.01961   1.55053e-03   1.96426         7.03510
   0.01786   6.38858e-03   0.24270       -15.13929
   0.01630   1.64307e-03   3.88821        14.92713
   0.01485   2.52427e-03   0.65091        -4.60066
   0.01351   4.24860e-03   0.59414        -5.51465
   0.01230   1.22618e-03   3.46492        13.15143
   0.01119   1.85625e-03   0.66057        -4.41979
   0.01017   2.85995e-04   6.49051        19.48508
   0.00926   3.09968e-04   0.92266        -0.85844
   0.00843   3.92073e-04   0.79059        -2.49482
   0.00767   1.66909e-03   0.23490       -15.44719
   0.00699   3.84353e-04   4.34261        15.83272
   0.00637   5.07775e-04   0.75694        -2.98152
   0.00579   3.19535e-04   1.58910         4.86948
   0.00527   2.64155e-04   1.20965         2.02683
   0.00480   1.97289e-04   1.33892         3.10921
   0.00437   1.73438e-04   1.13752         1.36233
   0.00398   1.83517e-04   0.94508        -0.60704
   0.00362   7.64580e-05   2.40024         9.23324
   0.00330   5.24937e-05   1.45652         4.03380
   0.00300   8.01179e-05   0.65521        -4.48313
 
Least squares fit gives E(h) = 9.43204 * h^2.01101
 
