 
       h            D2error     Predicted Error
   1.0000e-01      6.4431e-05      6.4661e-05
   5.6234e-02      6.4588e-06      6.4661e-06
   3.1623e-02      6.4638e-07      6.4661e-07
   1.7783e-02      6.4653e-08      6.4661e-08
   1.0000e-02      6.4608e-09      6.4661e-09
   5.6234e-03      6.3753e-10      6.4661e-10
   3.1623e-03      5.2040e-11      6.4661e-11
   1.7783e-03      3.9182e-11      6.4661e-12
   1.0000e-03      5.0307e-10      6.4661e-13
   5.6234e-04      4.8242e-10      6.4661e-14
   3.1623e-04      4.3333e-09      6.4661e-15
   1.7783e-04      9.9178e-09      6.4661e-16
   1.0000e-04      3.3754e-08      6.4661e-17
